Comunidades y Ciudades Autónomas;Sexo;Características demográficas;Tipo de uso de TIC;Total
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 2 miembros;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;84,4
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 2 miembros;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);74,2
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 2 miembros;Personas que han comprado a través de Internet en los últimos 3 meses;44,3
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 3 miembros;Total Personas;10.353.796
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 3 miembros;Personas que han utilizado el teléfono móvil en los últimos 3 meses;98,7
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 3 miembros;Personas que han utilizado Internet en los últimos 3 meses;95,3
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 3 miembros;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;93,5
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 3 miembros;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);85,7
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 3 miembros;Personas que han comprado a través de Internet en los últimos 3 meses;57,3
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 4 miembros;Total Personas;8.707.161
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 4 miembros;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,6
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 4 miembros;Personas que han utilizado Internet en los últimos 3 meses;98,5
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 4 miembros;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;97,4
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 4 miembros;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);91,1
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 4 miembros;Personas que han comprado a través de Internet en los últimos 3 meses;65,0
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 5 ó más miembros;Total Personas;3.129.472
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,1
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado Internet en los últimos 3 meses;96,7
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;95,4
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);88,7
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han comprado a través de Internet en los últimos 3 meses;51,5
Total Nacional;Hombres;Total Personas;Total Personas;17.472.634
Total Nacional;Hombres;Total Personas;Personas que han utilizado el teléfono móvil en los últimos 3 meses;98,9
Total Nacional;Hombres;Total Personas;Personas que han utilizado Internet en los últimos 3 meses;93,2
Total Nacional;Hombres;Total Personas;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;91,1
Total Nacional;Hombres;Total Personas;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);82,4
Total Nacional;Hombres;Total Personas;Personas que han comprado a través de Internet en los últimos 3 meses;54,3
Total Nacional;Hombres;Edad: De 16 a 24 años;Total Personas;2.223.105
Total Nacional;Hombres;Edad: De 16 a 24 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,8
Total Nacional;Hombres;Edad: De 16 a 24 años;Personas que han utilizado Internet en los últimos 3 meses;99,9
