Comunidades y Ciudades Autónomas;Sexo;Características demográficas;Tipo de uso de TIC;Total
Extremadura;Ambos sexos;Edad: De 16 a 24 años;Personas que han comprado a través de Internet en los últimos 3 meses;56,1
Extremadura;Ambos sexos;Edad: De 25 a 34 años;Total Personas;93.573
Extremadura;Ambos sexos;Edad: De 25 a 34 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Extremadura;Ambos sexos;Edad: De 25 a 34 años;Personas que han utilizado Internet en los últimos 3 meses;99,3
Extremadura;Ambos sexos;Edad: De 25 a 34 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;96,4
Extremadura;Ambos sexos;Edad: De 25 a 34 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);89,9
Extremadura;Ambos sexos;Edad: De 25 a 34 años;Personas que han comprado a través de Internet en los últimos 3 meses;72,2
Extremadura;Ambos sexos;Edad: De 35 a 44 años;Total Personas;145.570
Extremadura;Ambos sexos;Edad: De 35 a 44 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Extremadura;Ambos sexos;Edad: De 35 a 44 años;Personas que han utilizado Internet en los últimos 3 meses;100,0
Extremadura;Ambos sexos;Edad: De 35 a 44 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;100,0
Extremadura;Ambos sexos;Edad: De 35 a 44 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);89,9
Extremadura;Ambos sexos;Edad: De 35 a 44 años;Personas que han comprado a través de Internet en los últimos 3 meses;72,8
Extremadura;Ambos sexos;Edad: De 45 a 54 años;Total Personas;163.726
Extremadura;Ambos sexos;Edad: De 45 a 54 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Extremadura;Ambos sexos;Edad: De 45 a 54 años;Personas que han utilizado Internet en los últimos 3 meses;96,2
Extremadura;Ambos sexos;Edad: De 45 a 54 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;93,4
Extremadura;Ambos sexos;Edad: De 45 a 54 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);77,8
Extremadura;Ambos sexos;Edad: De 45 a 54 años;Personas que han comprado a través de Internet en los últimos 3 meses;59,5
Extremadura;Ambos sexos;Edad: De 55 a 64 años;Total Personas;154.921
Extremadura;Ambos sexos;Edad: De 55 a 64 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,1
Extremadura;Ambos sexos;Edad: De 55 a 64 años;Personas que han utilizado Internet en los últimos 3 meses;88,5
Extremadura;Ambos sexos;Edad: De 55 a 64 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;80,9
Extremadura;Ambos sexos;Edad: De 55 a 64 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);65,5
Extremadura;Ambos sexos;Edad: De 55 a 64 años;Personas que han comprado a través de Internet en los últimos 3 meses;31,1
Extremadura;Ambos sexos;Edad: De 65 a 74 años;Total Personas;103.951
Extremadura;Ambos sexos;Edad: De 65 a 74 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;97,4
Extremadura;Ambos sexos;Edad: De 65 a 74 años;Personas que han utilizado Internet en los últimos 3 meses;62,4
Extremadura;Ambos sexos;Edad: De 65 a 74 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;56,2
Extremadura;Ambos sexos;Edad: De 65 a 74 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);47,3
Extremadura;Ambos sexos;Edad: De 65 a 74 años;Personas que han comprado a través de Internet en los últimos 3 meses;18,7
Extremadura;Ambos sexos;Hábitat: De 100.000 y más habitantes y capitales de provincia;Total Personas;196.071
Extremadura;Ambos sexos;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Extremadura;Ambos sexos;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han utilizado Internet en los últimos 3 meses;98,6
Extremadura;Ambos sexos;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;94,6
Extremadura;Ambos sexos;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);84,1
Extremadura;Ambos sexos;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han comprado a través de Internet en los últimos 3 meses;61,9
Extremadura;Ambos sexos;Hábitat: De 50.000 a menos de 100.000 habitantes;Total Personas;157.888
Extremadura;Ambos sexos;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Extremadura;Ambos sexos;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han utilizado Internet en los últimos 3 meses;95,6
Extremadura;Ambos sexos;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;94,2
Extremadura;Ambos sexos;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);88,9
Extremadura;Ambos sexos;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han comprado a través de Internet en los últimos 3 meses;64,3
Extremadura;Ambos sexos;Hábitat: De 20.000 a menos de 50.000 habitantes;Total Personas;..
Extremadura;Ambos sexos;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han utilizado el teléfono móvil en los últimos 3 meses;..
Extremadura;Ambos sexos;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han utilizado Internet en los últimos 3 meses;..
Extremadura;Ambos sexos;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;..
Extremadura;Ambos sexos;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);..
Extremadura;Ambos sexos;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han comprado a través de Internet en los últimos 3 meses;..
Extremadura;Ambos sexos;Hábitat: De 10.000 a menos de 20.000 habitantes;Total Personas;73.065
Extremadura;Ambos sexos;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han utilizado el teléfono móvil en los últimos 3 meses;97,8
Extremadura;Ambos sexos;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han utilizado Internet en los últimos 3 meses;88,9
Extremadura;Ambos sexos;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;88,0
Extremadura;Ambos sexos;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);78,1
Extremadura;Ambos sexos;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han comprado a través de Internet en los últimos 3 meses;47,3
Extremadura;Ambos sexos;Hábitat: Menos de 10.000 habitantes;Total Personas;358.347
Extremadura;Ambos sexos;Hábitat: Menos de 10.000 habitantes;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,3
Extremadura;Ambos sexos;Hábitat: Menos de 10.000 habitantes;Personas que han utilizado Internet en los últimos 3 meses;86,5
Extremadura;Ambos sexos;Hábitat: Menos de 10.000 habitantes;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;82,3
Extremadura;Ambos sexos;Hábitat: Menos de 10.000 habitantes;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);69,0
Extremadura;Ambos sexos;Hábitat: Menos de 10.000 habitantes;Personas que han comprado a través de Internet en los últimos 3 meses;42,0
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 1 miembro;Total Personas;83.457
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 1 miembro;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 1 miembro;Personas que han utilizado Internet en los últimos 3 meses;85,2
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 1 miembro;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;81,4
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 1 miembro;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);74,3
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 1 miembro;Personas que han comprado a través de Internet en los últimos 3 meses;40,0
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 2 miembros;Total Personas;229.956
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 2 miembros;Personas que han utilizado el teléfono móvil en los últimos 3 meses;98,2
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 2 miembros;Personas que han utilizado Internet en los últimos 3 meses;83,6
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 2 miembros;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;79,4
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 2 miembros;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);69,3
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 2 miembros;Personas que han comprado a través de Internet en los últimos 3 meses;39,0
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 3 miembros;Total Personas;216.630
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 3 miembros;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 3 miembros;Personas que han utilizado Internet en los últimos 3 meses;93,7
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 3 miembros;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;90,8
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 3 miembros;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);76,6
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 3 miembros;Personas que han comprado a través de Internet en los últimos 3 meses;57,4
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 4 miembros;Total Personas;223.174
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 4 miembros;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 4 miembros;Personas que han utilizado Internet en los últimos 3 meses;98,9
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 4 miembros;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;95,9
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 4 miembros;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);87,3
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 4 miembros;Personas que han comprado a través de Internet en los últimos 3 meses;61,9
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 5 ó más miembros;Total Personas;32.156
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado Internet en los últimos 3 meses;100,0
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;100,0
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);84,6
Extremadura;Ambos sexos;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han comprado a través de Internet en los últimos 3 meses;69,9
Extremadura;Hombres;Total Personas;Total Personas;397.042
Extremadura;Hombres;Total Personas;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,6
Extremadura;Hombres;Total Personas;Personas que han utilizado Internet en los últimos 3 meses;90,4
Extremadura;Hombres;Total Personas;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;86,3
Extremadura;Hombres;Total Personas;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);72,6
Extremadura;Hombres;Total Personas;Personas que han comprado a través de Internet en los últimos 3 meses;52,9
Extremadura;Hombres;Edad: De 16 a 24 años;Total Personas;76.039
Extremadura;Hombres;Edad: De 16 a 24 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Extremadura;Hombres;Edad: De 16 a 24 años;Personas que han utilizado Internet en los últimos 3 meses;96,5
Extremadura;Hombres;Edad: De 16 a 24 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;96,5
Extremadura;Hombres;Edad: De 16 a 24 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);90,5
Extremadura;Hombres;Edad: De 16 a 24 años;Personas que han comprado a través de Internet en los últimos 3 meses;59,3
Extremadura;Hombres;Edad: De 25 a 34 años;Total Personas;35.175
Extremadura;Hombres;Edad: De 25 a 34 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Extremadura;Hombres;Edad: De 25 a 34 años;Personas que han utilizado Internet en los últimos 3 meses;100,0
Extremadura;Hombres;Edad: De 25 a 34 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;100,0
Extremadura;Hombres;Edad: De 25 a 34 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);82,7
Extremadura;Hombres;Edad: De 25 a 34 años;Personas que han comprado a través de Internet en los últimos 3 meses;71,0
Extremadura;Hombres;Edad: De 35 a 44 años;Total Personas;73.711
Extremadura;Hombres;Edad: De 35 a 44 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Extremadura;Hombres;Edad: De 35 a 44 años;Personas que han utilizado Internet en los últimos 3 meses;100,0
Extremadura;Hombres;Edad: De 35 a 44 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;100,0
Extremadura;Hombres;Edad: De 35 a 44 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);81,4
Extremadura;Hombres;Edad: De 35 a 44 años;Personas que han comprado a través de Internet en los últimos 3 meses;70,9
Extremadura;Hombres;Edad: De 45 a 54 años;Total Personas;82.538
Extremadura;Hombres;Edad: De 45 a 54 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Extremadura;Hombres;Edad: De 45 a 54 años;Personas que han utilizado Internet en los últimos 3 meses;92,5
Extremadura;Hombres;Edad: De 45 a 54 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;87,8
Extremadura;Hombres;Edad: De 45 a 54 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);68,0
Extremadura;Hombres;Edad: De 45 a 54 años;Personas que han comprado a través de Internet en los últimos 3 meses;57,0
Extremadura;Hombres;Edad: De 55 a 64 años;Total Personas;78.728
Extremadura;Hombres;Edad: De 55 a 64 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;98,2
Extremadura;Hombres;Edad: De 55 a 64 años;Personas que han utilizado Internet en los últimos 3 meses;87,7
Extremadura;Hombres;Edad: De 55 a 64 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;77,8
Extremadura;Hombres;Edad: De 55 a 64 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);66,4
Extremadura;Hombres;Edad: De 55 a 64 años;Personas que han comprado a través de Internet en los últimos 3 meses;36,3
Extremadura;Hombres;Edad: De 65 a 74 años;Total Personas;50.851
Extremadura;Hombres;Edad: De 65 a 74 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Extremadura;Hombres;Edad: De 65 a 74 años;Personas que han utilizado Internet en los últimos 3 meses;61,0
Extremadura;Hombres;Edad: De 65 a 74 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;52,8
Extremadura;Hombres;Edad: De 65 a 74 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);43,2
Extremadura;Hombres;Edad: De 65 a 74 años;Personas que han comprado a través de Internet en los últimos 3 meses;23,8
Extremadura;Hombres;Hábitat: De 100.000 y más habitantes y capitales de provincia;Total Personas;98.477
Extremadura;Hombres;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Extremadura;Hombres;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han utilizado Internet en los últimos 3 meses;99,5
Extremadura;Hombres;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;94,5
Extremadura;Hombres;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);84,8
Extremadura;Hombres;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han comprado a través de Internet en los últimos 3 meses;67,0
Extremadura;Hombres;Hábitat: De 50.000 a menos de 100.000 habitantes;Total Personas;73.192
Extremadura;Hombres;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Extremadura;Hombres;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han utilizado Internet en los últimos 3 meses;91,6
Extremadura;Hombres;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;90,2
Extremadura;Hombres;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);81,5
Extremadura;Hombres;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han comprado a través de Internet en los últimos 3 meses;69,8
Extremadura;Hombres;Hábitat: De 20.000 a menos de 50.000 habitantes;Total Personas;..
Extremadura;Hombres;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han utilizado el teléfono móvil en los últimos 3 meses;..
Extremadura;Hombres;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han utilizado Internet en los últimos 3 meses;..
Extremadura;Hombres;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;..
Extremadura;Hombres;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);..
Extremadura;Hombres;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han comprado a través de Internet en los últimos 3 meses;..
Extremadura;Hombres;Hábitat: De 10.000 a menos de 20.000 habitantes;Total Personas;36.113
Extremadura;Hombres;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Extremadura;Hombres;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han utilizado Internet en los últimos 3 meses;88,5
Extremadura;Hombres;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;88,5
Extremadura;Hombres;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);78,0
Extremadura;Hombres;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han comprado a través de Internet en los últimos 3 meses;53,8
Extremadura;Hombres;Hábitat: Menos de 10.000 habitantes;Total Personas;189.260
Extremadura;Hombres;Hábitat: Menos de 10.000 habitantes;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,3
Extremadura;Hombres;Hábitat: Menos de 10.000 habitantes;Personas que han utilizado Internet en los últimos 3 meses;85,5
Extremadura;Hombres;Hábitat: Menos de 10.000 habitantes;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;80,2
Extremadura;Hombres;Hábitat: Menos de 10.000 habitantes;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);61,8
Extremadura;Hombres;Hábitat: Menos de 10.000 habitantes;Personas que han comprado a través de Internet en los últimos 3 meses;38,9
Extremadura;Hombres;Tamaño del hogar: Hogares de 1 miembro;Total Personas;43.876
Extremadura;Hombres;Tamaño del hogar: Hogares de 1 miembro;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Extremadura;Hombres;Tamaño del hogar: Hogares de 1 miembro;Personas que han utilizado Internet en los últimos 3 meses;87,1
Extremadura;Hombres;Tamaño del hogar: Hogares de 1 miembro;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;83,9
Extremadura;Hombres;Tamaño del hogar: Hogares de 1 miembro;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);73,5
Extremadura;Hombres;Tamaño del hogar: Hogares de 1 miembro;Personas que han comprado a través de Internet en los últimos 3 meses;42,1
Extremadura;Hombres;Tamaño del hogar: Hogares de 2 miembros;Total Personas;125.609
Extremadura;Hombres;Tamaño del hogar: Hogares de 2 miembros;Personas que han utilizado el teléfono móvil en los últimos 3 meses;98,9
Extremadura;Hombres;Tamaño del hogar: Hogares de 2 miembros;Personas que han utilizado Internet en los últimos 3 meses;82,3
Extremadura;Hombres;Tamaño del hogar: Hogares de 2 miembros;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;75,6
Extremadura;Hombres;Tamaño del hogar: Hogares de 2 miembros;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);65,0
Extremadura;Hombres;Tamaño del hogar: Hogares de 2 miembros;Personas que han comprado a través de Internet en los últimos 3 meses;42,1
Extremadura;Hombres;Tamaño del hogar: Hogares de 3 miembros;Total Personas;101.200
Extremadura;Hombres;Tamaño del hogar: Hogares de 3 miembros;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Extremadura;Hombres;Tamaño del hogar: Hogares de 3 miembros;Personas que han utilizado Internet en los últimos 3 meses;92,2
Extremadura;Hombres;Tamaño del hogar: Hogares de 3 miembros;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;90,1
Extremadura;Hombres;Tamaño del hogar: Hogares de 3 miembros;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);68,4
Extremadura;Hombres;Tamaño del hogar: Hogares de 3 miembros;Personas que han comprado a través de Internet en los últimos 3 meses;53,6
Extremadura;Hombres;Tamaño del hogar: Hogares de 4 miembros;Total Personas;104.254
Extremadura;Hombres;Tamaño del hogar: Hogares de 4 miembros;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Extremadura;Hombres;Tamaño del hogar: Hogares de 4 miembros;Personas que han utilizado Internet en los últimos 3 meses;97,6
Extremadura;Hombres;Tamaño del hogar: Hogares de 4 miembros;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;93,8
Extremadura;Hombres;Tamaño del hogar: Hogares de 4 miembros;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);82,4
Extremadura;Hombres;Tamaño del hogar: Hogares de 4 miembros;Personas que han comprado a través de Internet en los últimos 3 meses;69,0
Extremadura;Hombres;Tamaño del hogar: Hogares de 5 ó más miembros;Total Personas;22.103
Extremadura;Hombres;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Extremadura;Hombres;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado Internet en los últimos 3 meses;100,0
Extremadura;Hombres;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;100,0
Extremadura;Hombres;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);86,5
Extremadura;Hombres;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han comprado a través de Internet en los últimos 3 meses;56,3
Extremadura;Mujeres;Total Personas;Total Personas;388.330
Extremadura;Mujeres;Total Personas;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,3
Extremadura;Mujeres;Total Personas;Personas que han utilizado Internet en los últimos 3 meses;92,8
Extremadura;Mujeres;Total Personas;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;90,3
Extremadura;Mujeres;Total Personas;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);82,7
Extremadura;Mujeres;Total Personas;Personas que han comprado a través de Internet en los últimos 3 meses;51,0
Extremadura;Mujeres;Edad: De 16 a 24 años;Total Personas;47.592
Extremadura;Mujeres;Edad: De 16 a 24 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Extremadura;Mujeres;Edad: De 16 a 24 años;Personas que han utilizado Internet en los últimos 3 meses;100,0
Extremadura;Mujeres;Edad: De 16 a 24 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;100,0
Extremadura;Mujeres;Edad: De 16 a 24 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);100,0
Extremadura;Mujeres;Edad: De 16 a 24 años;Personas que han comprado a través de Internet en los últimos 3 meses;51,1
Extremadura;Mujeres;Edad: De 25 a 34 años;Total Personas;58.398
Extremadura;Mujeres;Edad: De 25 a 34 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Extremadura;Mujeres;Edad: De 25 a 34 años;Personas que han utilizado Internet en los últimos 3 meses;98,8
Extremadura;Mujeres;Edad: De 25 a 34 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;94,2
Extremadura;Mujeres;Edad: De 25 a 34 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);94,2
Extremadura;Mujeres;Edad: De 25 a 34 años;Personas que han comprado a través de Internet en los últimos 3 meses;72,9
Extremadura;Mujeres;Edad: De 35 a 44 años;Total Personas;71.859
Extremadura;Mujeres;Edad: De 35 a 44 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Extremadura;Mujeres;Edad: De 35 a 44 años;Personas que han utilizado Internet en los últimos 3 meses;100,0
Extremadura;Mujeres;Edad: De 35 a 44 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;100,0
Extremadura;Mujeres;Edad: De 35 a 44 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);98,7
Extremadura;Mujeres;Edad: De 35 a 44 años;Personas que han comprado a través de Internet en los últimos 3 meses;74,8
Extremadura;Mujeres;Edad: De 45 a 54 años;Total Personas;81.188
Extremadura;Mujeres;Edad: De 45 a 54 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Extremadura;Mujeres;Edad: De 45 a 54 años;Personas que han utilizado Internet en los últimos 3 meses;100,0
Extremadura;Mujeres;Edad: De 45 a 54 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;99,2
Extremadura;Mujeres;Edad: De 45 a 54 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);87,8
Extremadura;Mujeres;Edad: De 45 a 54 años;Personas que han comprado a través de Internet en los últimos 3 meses;62,1
Extremadura;Mujeres;Edad: De 55 a 64 años;Total Personas;76.193
Extremadura;Mujeres;Edad: De 55 a 64 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Extremadura;Mujeres;Edad: De 55 a 64 años;Personas que han utilizado Internet en los últimos 3 meses;89,4
Extremadura;Mujeres;Edad: De 55 a 64 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;84,0
Extremadura;Mujeres;Edad: De 55 a 64 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);64,5
Extremadura;Mujeres;Edad: De 55 a 64 años;Personas que han comprado a través de Internet en los últimos 3 meses;25,6
Extremadura;Mujeres;Edad: De 65 a 74 años;Total Personas;53.100
Extremadura;Mujeres;Edad: De 65 a 74 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;94,9
Extremadura;Mujeres;Edad: De 65 a 74 años;Personas que han utilizado Internet en los últimos 3 meses;63,7
Extremadura;Mujeres;Edad: De 65 a 74 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;59,4
Extremadura;Mujeres;Edad: De 65 a 74 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);51,2
Extremadura;Mujeres;Edad: De 65 a 74 años;Personas que han comprado a través de Internet en los últimos 3 meses;13,8
Extremadura;Mujeres;Hábitat: De 100.000 y más habitantes y capitales de provincia;Total Personas;97.594
Extremadura;Mujeres;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
